Date,Ping (ms),Download (Mb/s),Upload (Mb/s)
05/03/2020_16:10:31,58.185,5.03,0.45
05/03/2020_16:13:44,46.353,5.13,0.46
05/03/2020_16:24:15,67.59,4.58,0.4
05/03/2020_16:34:58,46.879,1.78,0.31
05/03/2020_16:45:25,45.343,5.83,0.43
05/03/2020_16:55:53,45.865,5.06,0.45
05/03/2020_17:06:25,45.184,4.53,0.37
05/03/2020_17:16:55,46.097,4.35,0.41
05/03/2020_17:27:25,45.187,5.4,0.4
05/03/2020_17:37:54,53.148999999999994,4.28,0.42
05/03/2020_17:48:26,49.802,3.37,0.34
05/03/2020_17:58:56,46.92,5.14,0.38
05/03/2020_18:09:59,379.695,1.58,0.36
05/03/2020_18:20:51,53.607,5.26,0.38
05/03/2020_18:31:23,45.822,5.74,0.38
05/03/2020_18:41:51,45.433,5.77,0.43
05/03/2020_18:52:20,46.734,4.31,0.44
05/03/2020_19:02:49,46.288999999999994,5.86,0.43
05/03/2020_19:13:17,46.839,5.52,0.45
05/03/2020_19:23:41,46.347,5.33,0.52
05/03/2020_19:34:10,45.576,5.93,0.43
05/03/2020_19:44:39,45.551,5.96,0.38
05/03/2020_19:55:21,46.449,4.8,0.34
05/03/2020_20:05:47,45.64100000000001,5.96,0.48
05/03/2020_20:16:15,45.768,5.94,0.45
05/03/2020_20:27:06,46.441,5.92,0.37
05/03/2020_20:37:33,47.056,5.89,0.49
05/03/2020_20:48:08,48.968,3.7,0.3
05/03/2020_20:58:34,45.848,5.97,0.52
05/03/2020_21:09:03,45.232,5.52,0.42
05/03/2020_21:19:34,44.879,5.97,0.34
05/03/2020_21:30:07,46.169,4.25,0.33
05/03/2020_21:40:33,45.636,5.02,0.51
05/03/2020_21:51:07,46.324,4.78,0.35
05/03/2020_22:01:34,46.676,4.14,0.45
05/03/2020_22:12:04,47.068999999999996,4.55,0.4
05/03/2020_22:22:41,50.13,4.25,0.38
05/03/2020_22:33:14,49.791000000000004,3.71,0.33
05/03/2020_22:43:47,56.359,3.7,0.3
05/03/2020_22:54:15,61.101000000000006,5.26,0.49
05/03/2020_23:04:44,46.31399999999999,5.56,0.41
05/03/2020_23:15:11,47.512,5.1,0.48
05/03/2020_23:25:38,47.035,4.29,0.47
05/03/2020_23:36:07,45.961999999999996,5.92,0.45
05/03/2020_23:46:59,93.882,3.36,0.31
05/03/2020_23:57:28,46.86600000000001,5.52,0.43
05/04/2020_00:07:59,46.395,5.07,0.36
05/04/2020_00:18:25,47.536,4.97,0.49
05/04/2020_00:28:51,47.221,4.56,0.55
05/04/2020_00:39:20,45.328,4.52,0.41
05/04/2020_00:49:47,45.544,5.1,0.48
05/04/2020_01:00:19,47.315,4.78,0.37
05/04/2020_01:10:46,45.812,4.34,0.48
05/04/2020_01:21:15,46.65,4.52,0.39
05/04/2020_01:31:44,47.383,3.7,0.39
05/04/2020_01:42:14,45.24800000000001,5.05,0.39
05/04/2020_01:52:45,48.604,4.49,0.35
05/04/2020_02:03:16,52.871,4.6,0.41
05/04/2020_02:13:45,45.603,4.12,0.43
05/04/2020_02:24:19,47.361999999999995,5.15,0.34
05/04/2020_02:34:50,45.859,5.81,0.39
05/04/2020_02:45:23,45.765,5.41,0.36
05/04/2020_02:55:51,44.77,5.95,0.45
05/04/2020_03:06:23,45.925,5.96,0.35
05/04/2020_03:16:53,46.736,5.96,0.39
05/04/2020_03:27:21,46.681999999999995,5.98,0.45
05/04/2020_03:37:51,46.018,5.95,0.4
05/04/2020_03:48:19,45.04,5.51,0.43
05/04/2020_03:58:50,44.847,5.96,0.31
05/04/2020_04:10:06,1054.546,3.58,0.46
05/04/2020_04:20:35,45.592,5.98,0.42
05/04/2020_04:31:03,45.457,6.02,0.44
05/04/2020_04:41:31,44.62,5.97,0.44
05/04/2020_04:52:01,53.175,5.51,0.41
05/04/2020_05:02:30,44.992,5.94,0.4
05/04/2020_05:12:58,44.856,5.99,0.46
05/04/2020_05:23:30,44.905,5.96,0.37
05/04/2020_05:33:59,45.916000000000004,5.76,0.43
05/04/2020_05:44:27,47.575,5.76,0.45
05/04/2020_05:54:54,44.89,5.95,0.46
05/04/2020_06:05:25,46.176,5.99,0.41
05/04/2020_06:15:53,44.945,5.94,0.45
05/04/2020_06:26:21,45.07100000000001,5.96,0.44
05/04/2020_06:36:48,45.50100000000001,5.73,0.5
05/04/2020_06:47:13,46.102,5.97,0.53
05/04/2020_06:57:43,45.8,5.96,0.41
05/04/2020_07:08:12,45.162,5.96,0.43
05/04/2020_07:18:41,44.413000000000004,5.78,0.42
05/04/2020_07:29:08,44.92100000000001,5.97,0.48
05/04/2020_07:39:37,44.714,5.99,0.4
05/04/2020_07:50:08,44.775,5.99,0.38
05/04/2020_08:00:35,52.372,5.49,0.45
05/04/2020_08:11:06,46.242,5.38,0.38
05/04/2020_08:21:34,45.211999999999996,5.35,0.44
05/04/2020_08:32:07,45.015,5.25,0.34
05/04/2020_08:42:43,49.63399999999999,4.91,0.27
05/04/2020_08:53:21,46.23,2.86,0.4
05/04/2020_09:03:51,44.883,2.51,0.29
05/04/2020_09:14:34,64.74,4.58,0.44
05/04/2020_09:25:07,47.992,4.97,0.42
05/04/2020_09:35:38,61.874,4.02,0.36
05/04/2020_09:46:07,46.659,3.91,0.36
05/04/2020_09:56:38,45.24800000000001,4.78,0.4
05/04/2020_10:07:05,46.113,5.37,0.5
05/04/2020_10:17:36,47.249,4.97,0.38
05/04/2020_10:28:02,46.047,5.52,0.47
05/04/2020_10:38:28,45.98,5.24,0.51
05/04/2020_10:48:55,44.918,5.02,0.48
05/04/2020_10:59:23,47.244,3.17,0.5
05/04/2020_11:09:50,45.577,5.21,0.46
05/04/2020_11:20:20,45.801,6.0,0.43
05/04/2020_11:30:47,45.56100000000001,5.98,0.49
05/04/2020_11:41:16,45.533,5.93,0.4
05/04/2020_11:51:43,45.912,5.95,0.47
05/04/2020_12:02:09,45.6,5.91,0.49
05/04/2020_12:12:38,49.17100000000001,5.94,0.45
05/04/2020_12:23:09,46.31,5.37,0.38
05/04/2020_12:33:38,46.162,5.16,0.41
05/04/2020_12:44:07,45.292,5.66,0.43
05/04/2020_12:54:36,45.44,5.43,0.46
05/04/2020_13:05:08,123.214,5.72,0.46
05/04/2020_13:15:37,47.13,5.81,0.42
05/04/2020_13:26:09,50.852,5.82,0.33
05/04/2020_13:36:37,46.007,5.88,0.43
05/04/2020_13:47:06,45.214,5.72,0.43
05/04/2020_13:57:37,51.803999999999995,5.66,0.41
05/04/2020_14:08:06,45.627,5.82,0.41
05/04/2020_14:18:35,44.751999999999995,5.75,0.42
05/04/2020_14:29:04,45.158,5.61,0.42
05/04/2020_14:39:32,46.357,4.93,0.41
05/04/2020_14:50:02,46.382,5.74,0.42
05/04/2020_15:00:30,47.419,5.9,0.44
05/04/2020_15:10:59,46.172,5.53,0.38
05/04/2020_15:21:26,45.593999999999994,5.92,0.44
05/04/2020_15:31:57,44.865,5.23,0.39
05/04/2020_15:42:26,46.163999999999994,5.76,0.4
05/04/2020_15:53:00,45.475,4.46,0.38
05/04/2020_16:03:51,54.24800000000001,5.38,0.43
05/04/2020_16:14:23,46.316,5.62,0.38
05/04/2020_16:24:55,47.381,5.82,0.36
05/04/2020_16:35:27,47.504,5.28,0.34
05/04/2020_16:45:57,44.93,4.78,0.42
05/04/2020_16:56:27,47.015,4.97,0.37
05/04/2020_17:06:58,48.223,4.11,0.32
05/04/2020_17:17:26,51.949,5.84,0.44
05/04/2020_17:27:55,45.076,5.85,0.42
05/04/2020_17:38:26,45.37,4.86,0.35
05/04/2020_17:48:56,46.303000000000004,4.9,0.42
05/04/2020_17:59:21,45.978,5.27,0.57
05/04/2020_18:09:48,45.606,5.24,0.38
05/04/2020_18:20:18,48.316,2.72,0.4
05/04/2020_18:30:52,47.196999999999996,1.97,0.3
05/04/2020_18:41:23,44.709,4.63,0.37
05/04/2020_18:51:54,46.355,5.98,0.38
05/04/2020_19:02:24,45.659,5.95,0.39
05/04/2020_19:12:50,46.042,5.67,0.55
05/04/2020_19:23:17,45.343,3.5,0.48
05/04/2020_19:33:50,46.452,5.86,0.37
05/04/2020_19:44:21,46.737,5.31,0.42
05/04/2020_19:54:48,46.027,5.69,0.47
05/04/2020_20:05:15,45.537,5.94,0.48
05/04/2020_20:15:45,45.865,5.96,0.41
05/04/2020_20:26:14,45.576,5.96,0.4
05/04/2020_20:36:43,45.352,5.96,0.4
05/04/2020_20:47:13,45.518,5.61,0.4
05/04/2020_20:57:40,45.787,5.95,0.49
05/04/2020_21:08:06,45.166,5.94,0.48
05/04/2020_21:18:34,45.843999999999994,4.92,0.43
05/04/2020_21:29:04,45.433,5.3,0.39
05/04/2020_21:39:33,45.42,5.22,0.38
05/04/2020_21:49:59,45.468,5.18,0.51
05/04/2020_22:00:28,46.596000000000004,4.8,0.41
05/04/2020_22:11:00,63.648,3.98,0.31
05/04/2020_22:21:33,46.265,4.99,0.36
05/04/2020_22:31:59,46.288,5.3,0.47
05/04/2020_22:42:30,61.242,5.07,0.4
05/04/2020_22:53:01,66.23,4.71,0.43
05/04/2020_23:03:26,45.419,5.9,0.52
05/04/2020_23:13:55,70.241,5.03,0.47
05/04/2020_23:24:25,45.538999999999994,4.69,0.43
05/05/2020_15:49:54,53.548,4.83,0.35
